id_aluno,id_professor,aulas_bimestre,nota_p1_b1,nota_p2_b1,ativs_entregues_b1,ativs_total_b1,faltas_b1,nota_p1_b2,nota_p2_b2,ativs_entregues_b2,ativs_total_b2,faltas_b2,nota_p1_b3,nota_p2_b3,ativs_entregues_b3,ativs_total_b3,faltas_b3,nota_p1_b4,nota_p2_b4,ativs_entregues_b4,ativs_total_b4,faltas_b4,disciplina,media_b1,taxa_atividades_b1,media_b2,taxa_atividades_b2,media_b3,taxa_atividades_b3,media_b4,taxa_atividades_b4,media_anual,total_faltas,frequencia_anual,total_ativs_entregues,total_ativs,taxa_atividades_anual,situacao,matricula,nome,turma,serie,genero,data_nascimento,disciplina_key,faixa_desempenho,nivel_saeb_est
20240011,P001,60,8.3,9.0,9,10,9,10.0,8.0,5,10,6,7.6,8.0,5,10,8,9.7,9.0,5,10,6,Matemática,8.65,0.9,9.0,0.5,7.8,0.5,9.35,0.5,8.7,29,0.8792,24,40,0.6,Aprovado,20240011,João Moreira,1ºA,1º Ano,M,2007-03-25,matematica,Avançado,9
20240012,P001,60,8.0,9.2,10,10,3,8.7,9.8,9,10,0,7.8,8.2,8,10,0,8.1,6.9,10,10,3,Matemática,8.6,1.0,9.25,0.9,8.0,0.8,7.5,1.0,8.34,6,0.975,37,40,0.925,Aprovado,20240012,Samuel Oliveira,1ºA,1º Ano,M,2008-10-25,matematica,Adequado,8
20240013,P001,60,9.0,8.9,7,10,10,8.6,8.3,9,10,11,6.9,8.1,6,10,5,8.2,7.6,6,10,9,Matemática,8.95,0.7,8.45,0.9,7.5,0.6,7.9,0.6,8.2,35,0.8542,28,40,0.7,Aprovado,20240013,Nathan Nunes,1ºA,1º Ano,M,2009-10-21,matematica,Adequado,8
20240014,P001,60,8.4,9.1,6,10,14,10.0,8.8,6,10,17,8.9,8.5,2,10,9,6.3,8.6,7,10,14,Matemática,8.75,0.6,9.4,0.6,8.7,0.2,7.45,0.7,8.57,54,0.775,21,40,0.525,Aprovado,20240014,Fábio Teixeira,1ºA,1º Ano,M,2009-06-28,matematica,Avançado,9
20240015,P001,60,8.7,10.0,8,10,12,8.4,9.0,7,10,10,8.6,7.2,8,10,7,10.0,9.5,8,10,7,Matemática,9.35,0.8,8.7,0.7,7.9,0.8,9.75,0.8,8.92,36,0.85,31,40,0.775,Aprovado,20240015,Mateus Oliveira,1ºA,1º Ano,M,2008-03-15,matematica,Avançado,9
20240016,P001,60,9.6,7.5,7,10,14,10.0,6.9,6,10,19,9.3,10.0,2,10,11,7.4,7.9,5,10,16,Matemática,8.55,0.7,8.45,0.6,9.65,0.2,7.65,0.5,8.57,60,0.75,20,40,0.5,Aprovado,20240016,Mirela Souza,1ºA,1º Ano,F,2008-11-10,matematica,Avançado,9
20240017,P001,60,8.7,8.0,8,10,5,6.7,8.7,7,10,4,7.3,9.2,6,10,6,7.5,10.0,5,10,3,Matemática,8.35,0.8,7.7,0.7,8.25,0.6,8.75,0.5,8.26,18,0.925,26,40,0.65,Aprovado,20240017,Carlos Moreira,1ºA,1º Ano,M,2009-01-12,matematica,Adequado,8
20240018,P001,60,7.7,8.2,7,10,12,9.6,7.1,8,10,8,8.9,10.0,9,10,9,6.7,8.8,9,10,8,Matemática,7.95,0.7,8.35,0.8,9.45,0.9,7.75,0.9,8.38,37,0.8458,33,40,0.825,Aprovado,20240018,Leandro Cardoso,1ºA,1º Ano,M,2008-08-15,matematica,Adequado,8
20240019,P001,60,8.9,9.5,7,10,7,7.1,7.0,6,10,7,9.2,9.0,8,10,12,8.9,9.0,7,10,7,Matemática,9.2,0.7,7.05,0.6,9.1,0.8,8.95,0.7,8.57,33,0.8625,28,40,0.7,Aprovado,20240019,Heloísa Santos,1ºA,1º Ano,F,2008-05-03,matematica,Avançado,9
20240020,P001,60,7.8,8.9,3,10,19,9.0,7.8,7,10,10,10.0,9.2,3,10,20,7.2,9.4,4,10,14,Matemática,8.35,0.3,8.4,0.7,9.6,0.3,8.3,0.4,8.66,63,0.7375,17,40,0.425,Reprovado,20240020,André Nascimento,1ºA,1º Ano,M,2007-10-20,matematica,Avançado,9
20240021,P001,60,7.4,9.6,9,10,12,10.0,7.6,9,10,9,9.8,9.1,7,10,6,9.6,10.0,6,10,8,Matemática,8.5,0.9,8.8,0.9,9.45,0.7,9.8,0.6,9.14,35,0.8542,31,40,0.775,Aprovado,20240021,Rafael Ferreira,1ºA,1º Ano,M,2008-10-18,matematica,Avançado,9
20240022,P001,60,8.3,7.7,3,10,20,7.5,7.6,5,10,14,8.5,9.0,6,10,13,8.9,9.6,2,10,10,Matemática,8.0,0.3,7.55,0.5,8.75,0.6,9.25,0.2,8.39,57,0.7625,16,40,0.4,Aprovado,20240022,Pedro Carvalho,1ºA,1º Ano,M,2009-01-15,matematica,Adequado,8
20240023,P001,60,8.6,10.0,8,10,7,8.3,10.0,7,10,5,9.4,7.6,5,10,9,7.3,9.2,9,10,12,Matemática,9.3,0.8,9.15,0.7,8.5,0.5,8.25,0.9,8.8,33,0.8625,29,40,0.725,Aprovado,20240023,Bruno Costa,1ºA,1º Ano,M,2009-11-07,matematica,Avançado,9
20240024,P001,60,8.3,9.5,10,10,0,9.2,8.5,8,10,3,7.6,6.8,8,10,5,8.1,9.6,10,10,5,Matemática,8.9,1.0,8.85,0.8,7.2,0.8,8.85,1.0,8.45,13,0.9458,36,40,0.9,Aprovado,20240024,Ingrid Nunes,1ºA,1º Ano,F,2008-09-05,matematica,Adequado,8
20240025,P001,60,8.9,7.1,9,10,1,8.8,9.1,8,10,2,7.5,8.8,10,10,0,8.7,7.2,9,10,2,Matemática,8.0,0.9,8.95,0.8,8.15,1.0,7.95,0.9,8.26,5,0.9792,36,40,0.9,Aprovado,20240025,Mateus Ferreira,1ºA,1º Ano,M,2008-02-26,matematica,Adequado,8
20240026,P001,60,9.0,9.3,8,10,0,9.9,9.9,10,10,3,7.0,7.5,9,10,3,9.2,9.2,10,10,1,Matemática,9.15,0.8,9.9,1.0,7.25,0.9,9.2,1.0,8.88,7,0.9708,37,40,0.925,Aprovado,20240026,Hiago Barros,1ºA,1º Ano,M,2008-12-03,matematica,Avançado,9
20240027,P001,60,9.2,10.0,3,10,15,9.3,10.0,5,10,10,9.8,9.4,7,10,19,8.2,9.5,6,10,16,Matemática,9.6,0.3,9.65,0.5,9.6,0.7,8.85,0.6,9.43,60,0.75,21,40,0.525,Aprovado,20240027,Kaio Nascimento,1ºA,1º Ano,M,2007-01-08,matematica,Avançado,9
20240028,P001,60,7.7,8.3,6,10,9,8.0,8.7,9,10,5,10.0,6.4,7,10,10,9.4,6.7,8,10,9,Matemática,8.0,0.6,8.35,0.9,8.2,0.7,8.05,0.8,8.15,33,0.8625,30,40,0.75,Aprovado,20240028,Henrique Nascimento,1ºA,1º Ano,M,2008-09-17,matematica,Adequado,8
20240029,P001,60,8.0,9.9,7,10,15,8.7,7.3,6,10,17,7.8,9.4,3,10,8,7.7,8.9,2,10,15,Matemática,8.95,0.7,8.0,0.6,8.6,0.3,8.3,0.2,8.46,55,0.7708,18,40,0.45,Aprovado,20240029,Vitor Cardoso,1ºA,1º Ano,M,2008-06-10,matematica,Adequado,8
20240030,P001,60,8.7,7.8,10,10,2,10.0,9.4,10,10,2,6.2,8.8,8,10,2,7.8,9.6,10,10,3,Matemática,8.25,1.0,9.7,1.0,7.5,0.8,8.7,1.0,8.54,9,0.9625,38,40,0.95,Aprovado,20240030,Natália Almeida,1ºA,1º Ano,F,2008-11-20,matematica,Avançado,9
20240031,P001,60,7.7,8.5,8,10,11,9.2,9.6,9,10,5,7.2,8.2,7,10,12,8.0,7.8,7,10,6,Matemática,8.1,0.8,9.4,0.9,7.7,0.7,7.9,0.7,8.28,34,0.8583,31,40,0.775,Aprovado,20240031,Flávia Pereira,1ºA,1º Ano,F,2009-11-11,matematica,Adequado,8
20240032,P001,60,10.0,9.1,9,10,12,7.1,9.7,6,10,11,10.0,9.8,6,10,5,6.8,8.0,9,10,8,Matemática,9.55,0.9,8.4,0.6,9.9,0.6,7.4,0.9,8.81,36,0.85,30,40,0.75,Aprovado,20240032,Isabela Silva,1ºA,1º Ano,F,2007-09-22,matematica,Avançado,9
20240033,P001,60,10.0,7.8,7,10,11,9.1,9.5,6,10,9,7.5,8.5,7,10,7,4.7,7.4,5,10,11,Matemática,8.9,0.7,9.3,0.6,8.0,0.7,6.05,0.5,8.06,38,0.8417,25,40,0.625,Aprovado,20240033,Rafaela Barbosa,1ºA,1º Ano,F,2008-12-28,matematica,Adequado,8
20240034,P001,60,8.3,7.1,9,10,6,10.0,6.9,8,10,3,8.1,8.8,5,10,11,10.0,6.9,6,10,10,Matemática,7.7,0.9,8.45,0.8,8.45,0.5,8.45,0.6,8.26,30,0.875,28,40,0.7,Aprovado,20240034,Bernardo Pereira,1ºA,1º Ano,M,2009-03-11,matematica,Adequado,8
20240035,P001,60,10.0,8.6,4,10,11,7.4,9.2,5,10,8,8.8,7.9,2,10,10,8.7,8.1,6,10,15,Matemática,9.3,0.4,8.3,0.5,8.35,0.2,8.4,0.6,8.59,44,0.8167,17,40,0.425,Aprovado,20240035,Flávia Araújo,1ºA,1º Ano,F,2009-03-12,matematica,Avançado,9
20240036,P001,60,8.7,9.4,5,10,11,10.0,7.1,6,10,8,10.0,6.3,9,10,12,8.4,9.3,7,10,4,Matemática,9.05,0.5,8.55,0.6,8.15,0.9,8.85,0.7,8.65,35,0.8542,27,40,0.675,Aprovado,20240036,Rafaela Ferreira,1ºA,1º Ano,F,2009-12-22,matematica,Avançado,9
20240037,P001,60,8.9,7.9,8,10,8,8.4,8.0,5,10,7,7.9,9.6,8,10,10,9.0,7.8,6,10,4,Matemática,8.4,0.8,8.2,0.5,8.75,0.8,8.4,0.6,8.44,29,0.8792,27,40,0.675,Aprovado,20240037,Olivia Nunes,1ºA,1º Ano,F,2009-12-03,matematica,Adequado,8
20240038,P001,60,9.7,9.0,5,10,18,9.6,9.4,7,10,9,7.6,7.9,6,10,12,9.5,9.3,2,10,13,Matemática,9.35,0.5,9.5,0.7,7.75,0.6,9.4,0.2,9.0,52,0.7833,20,40,0.5,Aprovado,20240038,Jéssica Carvalho,1ºA,1º Ano,F,2008-11-26,matematica,Avançado,9
20240039,P001,60,8.6,8.8,5,10,12,10.0,7.9,9,10,7,9.3,8.4,8,10,3,8.3,9.9,7,10,11,Matemática,8.7,0.5,8.95,0.9,8.85,0.8,9.1,0.7,8.9,33,0.8625,29,40,0.725,Aprovado,20240039,Tatiane Carvalho,1ºA,1º Ano,F,2007-11-23,matematica,Avançado,9
20240040,P001,60,9.6,9.6,6,10,8,10.0,8.6,4,10,9,9.4,8.2,3,10,10,9.0,8.5,6,10,8,Matemática,9.6,0.6,9.3,0.4,8.8,0.3,8.75,0.6,9.11,35,0.8542,19,40,0.475,Aprovado,20240040,Eduardo Santos,1ºA,1º Ano,M,2009-11-17,matematica,Avançado,9
20240041,P001,60,8.7,9.3,8,10,12,7.6,10.0,9,10,7,7.4,7.2,9,10,7,10.0,9.6,5,10,5,Matemática,9.0,0.8,8.8,0.9,7.3,0.9,9.8,0.5,8.73,31,0.8708,31,40,0.775,Aprovado,20240041,Ingrid Costa,1ºA,1º Ano,F,2009-07-17,matematica,Avançado,9
20240042,P001,60,9.4,9.4,6,10,8,8.6,7.5,8,10,7,8.7,7.8,9,10,5,9.8,8.4,9,10,3,Matemática,9.4,0.6,8.05,0.8,8.25,0.9,9.1,0.9,8.7,23,0.9042,32,40,0.8,Aprovado,20240042,Mariana Farias,1ºA,1º Ano,F,2008-05-06,matematica,Avançado,9
20240043,P001,60,7.6,8.2,9,10,3,9.1,7.9,7,10,5,7.6,8.9,8,10,5,8.9,8.0,9,10,6,Matemática,7.9,0.9,8.5,0.7,8.25,0.8,8.45,0.9,8.27,19,0.9208,33,40,0.825,Aprovado,20240043,Bruno Pereira,1ºA,1º Ano,M,2008-08-07,matematica,Adequado,8
20240044,P001,60,8.0,8.9,6,10,12,6.9,6.9,6,10,10,7.7,8.4,8,10,8,9.0,10.0,5,10,8,Matemática,8.45,0.6,6.9,0.6,8.05,0.8,9.5,0.5,8.22,38,0.8417,25,40,0.625,Aprovado,20240044,Olivia Santos,1ºA,1º Ano,F,2007-03-03,matematica,Adequado,8
20240045,P001,60,9.6,8.4,5,10,18,8.6,7.4,5,10,16,8.6,8.3,5,10,10,9.0,7.6,2,10,19,Matemática,9.0,0.5,8.0,0.5,8.45,0.5,8.3,0.2,8.44,63,0.7375,17,40,0.425,Reprovado,20240045,Vanessa Silva,1ºA,1º Ano,F,2007-09-25,matematica,Adequado,8
20240046,P001,60,8.0,9.2,6,10,10,7.2,7.9,9,10,5,8.2,6.9,5,10,5,7.6,7.4,5,10,12,Matemática,8.6,0.6,7.55,0.9,7.55,0.5,7.5,0.5,7.8,32,0.8667,25,40,0.625,Aprovado,20240046,Bernardo Teixeira,1ºB,1º Ano,M,2009-09-02,matematica,Adequado,8
20240047,P001,60,7.5,6.5,3,10,15,7.4,8.0,4,10,16,9.1,8.5,2,10,10,10.0,6.5,5,10,10,Matemática,7.0,0.3,7.7,0.4,8.8,0.2,8.25,0.5,7.94,51,0.7875,14,40,0.35,Aprovado,20240047,Samuel Rodrigues,1ºB,1º Ano,M,2009-03-20,matematica,Adequado,8
20240048,P001,60,8.4,7.6,6,10,17,10.0,6.4,7,10,8,6.4,6.7,7,10,19,4.8,6.7,6,10,17,Matemática,8.0,0.6,8.2,0.7,6.55,0.7,5.75,0.6,7.12,61,0.7458,26,40,0.65,Reprovado,20240048,Giovana Silva,1ºB,1º Ano,F,2007-03-27,matematica,Adequado,7
20240049,P001,60,6.5,7.6,9,10,4,7.8,9.6,5,10,8,8.5,6.7,9,10,9,6.3,8.0,9,10,9,Matemática,7.05,0.9,8.7,0.5,7.6,0.9,7.15,0.9,7.62,30,0.875,32,40,0.8,Aprovado,20240049,Hiago Moreira,1ºB,1º Ano,M,2009-03-24,matematica,Adequado,7
20240050,P001,60,5.8,9.6,5,10,19,8.8,6.8,2,10,10,5.3,9.0,5,10,10,7.2,8.9,4,10,9,Matemática,7.7,0.5,7.8,0.2,7.15,0.5,8.05,0.4,7.68,48,0.8,16,40,0.4,Aprovado,20240050,Nayara Barros,1ºB,1º Ano,F,2008-06-22,matematica,Adequado,7
20240051,P001,60,5.5,6.7,10,10,5,7.4,7.4,9,10,4,6.8,8.1,8,10,2,6.1,7.2,10,10,3,Matemática,6.1,1.0,7.4,0.9,7.45,0.8,6.65,1.0,6.9,14,0.9417,37,40,0.925,Aprovado,20240051,Hiago Barbosa,1ºB,1º Ano,M,2008-10-10,matematica,Básico,6
20240052,P001,60,7.5,8.0,9,10,4,8.2,6.0,9,10,0,5.5,8.9,9,10,4,7.8,6.5,9,10,1,Matemática,7.75,0.9,7.1,0.9,7.2,0.9,7.15,0.9,7.3,9,0.9625,36,40,0.9,Aprovado,20240052,João Martins,1ºB,1º Ano,M,2008-04-18,matematica,Adequado,7
20240053,P001,60,9.2,7.5,3,10,18,8.8,7.5,3,10,12,9.9,9.5,4,10,13,7.1,8.5,3,10,19,Matemática,8.35,0.3,8.15,0.3,9.7,0.4,7.8,0.3,8.5,62,0.7417,13,40,0.325,Reprovado,20240053,Aline Oliveira,1ºB,1º Ano,F,2008-04-12,matematica,Avançado,9
20240054,P001,60,8.2,9.0,8,10,0,6.2,8.2,9,10,0,8.7,5.3,10,10,1,6.0,4.9,8,10,4,Matemática,8.6,0.8,7.2,0.9,7.0,1.0,5.45,0.8,7.06,5,0.9792,35,40,0.875,Aprovado,20240054,André Costa,1ºB,1º Ano,M,2009-08-15,matematica,Adequado,7
20240055,P001,60,7.1,8.2,8,10,11,9.2,7.5,7,10,4,9.3,5.7,8,10,7,5.3,7.3,7,10,9,Matemática,7.65,0.8,8.35,0.7,7.5,0.8,6.3,0.7,7.45,31,0.8708,30,40,0.75,Aprovado,20240055,Davi Gomes,1ºB,1º Ano,M,2008-09-17,matematica,Adequado,7
20240056,P001,60,7.8,7.3,5,10,6,4.9,7.3,6,10,6,5.8,8.2,8,10,9,7.8,6.3,8,10,8,Matemática,7.55,0.5,6.1,0.6,7.0,0.8,7.05,0.8,6.92,29,0.8792,27,40,0.675,Aprovado,20240056,Juliana Lima,1ºB,1º Ano,F,2007-04-26,matematica,Básico,6
20240057,P001,60,6.8,6.1,6,10,3,7.3,8.5,7,10,8,6.2,8.0,8,10,3,6.7,6.4,9,10,12,Matemática,6.45,0.6,7.9,0.7,7.1,0.8,6.55,0.9,7.0,26,0.8917,30,40,0.75,Aprovado,20240057,João Gomes,1ºB,1º Ano,M,2008-01-21,matematica,Adequado,7
20240058,P001,60,7.3,6.1,10,10,3,6.7,5.9,10,10,5,9.7,7.4,10,10,2,6.5,7.6,10,10,4,Matemática,6.7,1.0,6.3,1.0,8.55,1.0,7.05,1.0,7.15,14,0.9417,40,40,1.0,Aprovado,20240058,Daniela Ribeiro,1ºB,1º Ano,F,2008-09-04,matematica,Adequado,7
20240059,P001,60,7.2,7.1,7,10,19,8.1,8.3,5,10,8,6.7,6.7,4,10,14,7.0,4.6,7,10,8,Matemática,7.15,0.7,8.2,0.5,6.7,0.4,5.8,0.7,6.96,49,0.7958,23,40,0.575,Aprovado,20240059,Marcos Oliveira,1ºB,1º Ano,M,2009-02-10,matematica,Básico,6
20240060,P001,60,5.6,9.0,9,10,7,9.4,7.1,8,10,12,8.1,7.8,7,10,11,10.0,8.7,7,10,7,Matemática,7.3,0.9,8.25,0.8,7.95,0.7,9.35,0.7,8.21,37,0.8458,31,40,0.775,Aprovado,20240060,Juliana Barbosa,1ºB,1º Ano,F,2007-05-15,matematica,Adequado,8
20240061,P001,60,7.2,6.2,7,10,5,5.5,7.6,7,10,10,6.5,5.7,9,10,3,6.6,6.1,8,10,5,Matemática,6.7,0.7,6.55,0.7,6.1,0.9,6.35,0.8,6.43,23,0.9042,31,40,0.775,Aprovado,20240061,Alexandre Ribeiro,1ºB,1º Ano,M,2007-07-03,matematica,Básico,6
20240062,P001,60,9.4,8.4,7,10,19,7.4,9.2,4,10,10,7.5,6.3,2,10,10,9.2,8.0,3,10,8,Matemática,8.9,0.7,8.3,0.4,6.9,0.2,8.6,0.3,8.18,47,0.8042,16,40,0.4,Aprovado,20240062,Pedro Lima,1ºB,1º Ano,M,2007-08-12,matematica,Adequado,8
20240063,P001,60,6.1,7.2,8,10,5,6.3,5.7,8,10,3,8.5,9.7,9,10,1,5.7,8.1,10,10,4,Matemática,6.65,0.8,6.0,0.8,9.1,0.9,6.9,1.0,7.16,13,0.9458,35,40,0.875,Aprovado,20240063,Lucas Ribeiro,1ºB,1º Ano,M,2008-01-13,matematica,Adequado,7
20240064,P001,60,6.6,6.8,6,10,16,6.7,6.3,3,10,9,7.4,6.4,2,10,8,7.7,7.3,2,10,15,Matemática,6.7,0.6,6.5,0.3,6.9,0.2,7.5,0.2,6.9,48,0.8,13,40,0.325,Aprovado,20240064,Rafael Araújo,1ºB,1º Ano,M,2007-07-03,matematica,Básico,6
20240065,P001,60,7.1,6.3,6,10,8,6.7,8.3,7,10,11,8.0,6.2,6,10,8,7.5,8.3,8,10,11,Matemática,6.7,0.6,7.5,0.7,7.1,0.6,7.9,0.8,7.3,38,0.8417,27,40,0.675,Aprovado,20240065,Rafaela Santos,1ºB,1º Ano,F,2007-06-04,matematica,Adequado,7
20240066,P001,60,5.4,8.0,8,10,4,6.6,8.1,10,10,5,6.5,5.2,8,10,5,5.4,7.4,9,10,4,Matemática,6.7,0.8,7.35,1.0,5.85,0.8,6.4,0.9,6.57,18,0.925,35,40,0.875,Aprovado,20240066,Ivan Barros,1ºB,1º Ano,M,2009-06-26,matematica,Básico,6
20240067,P001,60,7.7,6.3,6,10,5,8.1,5.4,8,10,12,7.3,5.9,6,10,8,6.6,7.4,5,10,10,Matemática,7.0,0.6,6.75,0.8,6.6,0.6,7.0,0.5,6.84,35,0.8542,25,40,0.625,Aprovado,20240067,Giovana Gomes,1ºB,1º Ano,F,2007-05-27,matematica,Básico,6
20240068,P001,60,6.3,6.9,5,10,8,8.6,6.7,5,10,7,8.4,6.0,8,10,11,8.0,9.1,9,10,5,Matemática,6.6,0.5,7.65,0.5,7.2,0.8,8.55,0.9,7.5,31,0.8708,27,40,0.675,Aprovado,20240068,Ana Cardoso,1ºB,1º Ano,F,2007-12-16,matematica,Adequado,7
20240069,P001,60,4.4,6.4,3,10,9,8.1,7.1,4,10,13,7.8,6.7,6,10,13,7.5,7.2,5,10,15,Matemática,5.4,0.3,7.6,0.4,7.25,0.6,7.35,0.5,6.9,50,0.7917,18,40,0.45,Aprovado,20240069,Fernanda Silva,1ºB,1º Ano,F,2007-02-01,matematica,Básico,6
20240070,P001,60,8.8,7.7,4,10,8,7.8,6.9,6,10,16,6.8,6.9,6,10,13,7.9,6.9,7,10,9,Matemática,8.25,0.4,7.35,0.6,6.85,0.6,7.4,0.7,7.46,46,0.8083,23,40,0.575,Aprovado,20240070,Juliana Rodrigues,1ºB,1º Ano,F,2007-09-24,matematica,Adequado,7
20240071,P001,60,7.7,9.9,9,10,4,8.4,7.0,7,10,3,8.8,6.9,9,10,6,4.9,6.2,5,10,11,Matemática,8.8,0.9,7.7,0.7,7.85,0.9,5.55,0.5,7.48,24,0.9,30,40,0.75,Aprovado,20240071,Felipe Pereira,1ºB,1º Ano,M,2008-02-25,matematica,Adequado,7
20240072,P001,60,5.1,7.0,8,10,9,7.4,9.4,6,10,9,7.8,7.1,7,10,9,8.4,4.7,8,10,5,Matemática,6.05,0.8,8.4,0.6,7.45,0.7,6.55,0.8,7.11,32,0.8667,29,40,0.725,Aprovado,20240072,Letícia Ferreira,1ºB,1º Ano,F,2008-02-02,matematica,Adequado,7
20240073,P001,60,7.7,8.3,6,10,11,5.6,8.8,5,10,12,7.8,6.9,9,10,8,8.1,10.0,9,10,10,Matemática,8.0,0.6,7.2,0.5,7.35,0.9,9.05,0.9,7.9,41,0.8292,29,40,0.725,Aprovado,20240073,Elisa Barbosa,1ºB,1º Ano,F,2009-10-15,matematica,Adequado,8
20240074,P001,60,7.6,7.7,10,10,0,6.8,6.4,8,10,5,8.4,6.4,10,10,2,7.5,6.8,10,10,5,Matemática,7.65,1.0,6.6,0.8,7.4,1.0,7.15,1.0,7.2,12,0.95,38,40,0.95,Aprovado,20240074,Isabela Santos,1ºB,1º Ano,F,2008-10-18,matematica,Adequado,7
20240075,P001,60,8.0,7.8,8,10,0,8.6,6.8,9,10,5,7.1,6.2,8,10,4,6.8,7.8,9,10,4,Matemática,7.9,0.8,7.7,0.9,6.65,0.8,7.3,0.9,7.39,13,0.9458,34,40,0.85,Aprovado,20240075,Kamila Martins,1ºB,1º Ano,F,2009-10-08,matematica,Adequado,7
20240076,P001,60,8.3,6.3,6,10,7,8.4,9.0,8,10,7,7.9,9.6,6,10,7,6.5,5.9,9,10,9,Matemática,7.3,0.6,8.7,0.8,8.75,0.6,6.2,0.9,7.74,30,0.875,29,40,0.725,Aprovado,20240076,Caio Teixeira,1ºB,1º Ano,M,2008-07-01,matematica,Adequado,7
20240077,P001,60,5.2,9.2,4,10,17,8.2,7.3,4,10,10,7.7,6.0,6,10,18,10.0,7.5,7,10,10,Matemática,7.2,0.4,7.75,0.4,6.85,0.6,8.75,0.7,7.64,55,0.7708,21,40,0.525,Aprovado,20240077,João Souza,1ºB,1º Ano,M,2007-10-14,matematica,Adequado,7
